"","x"
"1",130.729995727539
"2",133.490005493164
"3",133.410003662109
"4",134.759994506836
"5",135.940002441406
"6",135.210006713867
"7",135.270004272461
"8",137.869995117188
"9",141.110000610352
"10",142.529998779297
"11",141.860000610352
"12",143.960006713867
"13",145.929992675781
"14",143
"15",144.289993286133
"16",145.429992675781
"17",150.820007324219
"18",154.5
"19",151.729995727539
"20",154.649993896484
"21",151.919998168945
"22",150.869995117188
"23",151.009994506836
"24",153.850006103516
"25",153.199996948242
"26",155.330001831055
"27",153.710006713867
"28",152.550003051758
"29",148.479995727539
"30",148.910003662109
"31",149.399993896484
"32",146.710006713867
"33",147.919998168945
"34",147.410003662109
"35",145.309997558594
"36",145.910003662109
"37",151.029998779297
"38",153.830001831055
"39",151.600006103516
"40",152.869995117188
"41",150.589996337891
"42",148.5
"43",150.470001220703
"44",152.589996337891
"45",152.990005493164
"46",155.850006103516
"47",155
"48",157.399993896484
"49",159.279998779297
"50",157.830001831055
"51",158.929992675781
"52",160.25
"53",158.279998779297
"54",157.649993896484
"55",160.770004272461
"56",162.360000610352
"57",164.899993896484
"58",166.169998168945
"59",165.630004882812
"60",163.759994506836
"61",164.660003662109
"62",162.029998779297
"63",160.800003051758
"64",160.100006103516
"65",165.559997558594
"66",165.210006713867
"67",165.229995727539
"68",166.470001220703
"69",167.630004882812
"70",166.649993896484
"71",165.020004272461
"72",165.330001831055
"73",163.770004272461
"74",163.759994506836
"75",168.410003662109
"76",169.679992675781
"77",169.589996337891
"78",168.539993286133
"79",167.449996948242
"80",165.789993286133
"81",173.570007324219
"82",173.5
"83",171.770004272461
"84",173.559997558594
"85",173.75
"86",172.570007324219
"87",172.070007324219
"88",172.070007324219
"89",172.690002441406
"90",175.050003051758
"91",175.160003662109
"92",174.199996948242
"93",171.559997558594
"94",171.839996337891
"95",172.990005493164
"96",175.429992675781
"97",177.300003051758
"98",177.25
"99",180.089996337891
"100",180.949996948242
"101",179.580001831055
"102",179.210006713867
"103",177.820007324219
"104",180.570007324219
"105",180.960006713867
"106",183.789993286133
"107",183.309997558594
"108",183.949996948242
"109",186.009994506836
"110",184.919998168945
"111",185.009994506836
"112",183.960006713867
"113",187
"114",186.679992675781
"115",185.270004272461
"116",188.059997558594
"117",189.25
"118",189.589996337891
"119",193.970001220703
"120",192.460006713867
"121",191.330001831055
"122",191.809997558594
"123",190.679992675781
"124",188.610000610352
"125",188.080001831055
"126",189.770004272461
"127",190.539993286133
"128",190.690002441406
"129",193.990005493164
"130",193.729995727539
"131",195.100006103516
"132",193.130004882812
"133",191.940002441406
"134",192.75
"135",193.619995117188
"136",194.5
"137",193.220001220703
"138",195.830001831055
"139",196.449996948242
"140",195.610000610352
"141",192.580001831055
"142",191.169998168945
"143",181.990005493164
"144",178.850006103516
"145",179.800003051758
"146",178.190002441406
"147",177.970001220703
"148",177.789993286133
"149",179.460006713867
"150",177.449996948242
"151",176.570007324219
"152",174
"153",174.490005493164
"154",175.839996337891
"155",177.229995727539
"156",181.119995117188
"157",176.380004882812
"158",178.610000610352
"159",180.190002441406
"160",184.119995117188
"161",187.649993896484
"162",187.869995117188
"163",189.460006713867
"164",189.699996948242
"165",182.910003662109
"166",177.559997558594
"167",178.179992675781
"168",179.360000610352
"169",176.300003051758
"170",174.210006713867
"171",175.740005493164
"172",175.009994506836
"173",177.970001220703
"174",179.070007324219
"175",175.490005493164
"176",173.929992675781
"177",174.789993286133
"178",176.080001831055
"179",171.960006713867
"180",170.429992675781
"181",170.690002441406
"182",171.210006713867
"183",173.75
"184",172.399993896484
"185",173.660003662109
"186",174.910003662109
"187",177.490005493164
"188",178.990005493164
"189",178.389999389648
"190",179.800003051758
"191",180.710006713867
"192",178.850006103516
