"","x"
"1",174.070007324219
"2",174.720001220703
"3",175.600006103516
"4",178.960006713867
"5",177.770004272461
"6",174.610000610352
"7",174.309997558594
"8",178.440002441406
"9",175.059997558594
"10",171.830001831055
"11",172.139999389648
"12",170.089996337891
"13",165.75
"14",167.660003662109
"15",170.399993896484
"16",165.289993286133
"17",165.070007324219
"18",167.399993896484
"19",167.229995727539
"20",166.419998168945
"21",161.789993286133
"22",162.880004882812
"23",156.800003051758
"24",156.570007324219
"25",163.639999389648
"26",157.649993896484
"27",157.960006713867
"28",159.479995727539
"29",166.020004272461
"30",156.770004272461
"31",157.279998779297
"32",152.059997558594
"33",154.509994506836
"34",146.5
"35",142.559997558594
"36",147.110000610352
"37",145.539993286133
"38",149.240005493164
"39",140.820007324219
"40",137.350006103516
"41",137.589996337891
"42",143.110000610352
"43",140.360000610352
"44",140.520004272461
"45",143.779998779297
"46",149.639999389648
"47",148.839996337891
"48",148.710006713867
"49",151.210006713867
"50",145.380004882812
"51",146.139999389648
"52",148.710006713867
"53",147.960006713867
"54",142.639999389648
"55",137.130004882812
"56",131.880004882812
"57",132.759994506836
"58",135.429992675781
"59",130.059997558594
"60",131.559997558594
"61",135.869995117188
"62",135.350006103516
"63",138.270004272461
"64",141.660003662109
"65",141.660003662109
"66",137.440002441406
"67",139.229995727539
"68",136.720001220703
"69",138.929992675781
"70",141.559997558594
"71",142.919998168945
"72",146.350006103516
"73",147.039993286133
"74",144.869995117188
"75",145.860000610352
"76",145.490005493164
"77",148.470001220703
"78",150.169998168945
"79",147.070007324219
"80",151
"81",153.039993286133
"82",155.350006103516
"83",154.089996337891
"84",152.949996948242
"85",151.600006103516
"86",156.789993286133
"87",157.350006103516
"88",162.509994506836
"89",161.509994506836
"90",160.009994506836
"91",166.130004882812
"92",165.809997558594
"93",165.350006103516
"94",164.869995117188
"95",164.919998168945
"96",169.240005493164
"97",168.490005493164
"98",172.100006103516
"99",173.190002441406
"100",173.029998779297
"101",174.550003051758
"102",174.149993896484
"103",171.520004272461
"104",167.570007324219
"105",167.229995727539
"106",167.529998779297
"107",170.029998779297
"108",163.619995117188
"109",161.380004882812
"110",158.910003662109
"111",157.220001220703
"112",157.960006713867
"113",155.809997558594
"114",154.529998779297
"115",155.960006713867
"116",154.460006713867
"117",157.369995117188
"118",163.429992675781
"119",153.839996337891
"120",155.309997558594
"121",152.369995117188
"122",150.699996948242
"123",154.479995727539
"124",156.899993896484
"125",153.720001220703
"126",152.740005493164
"127",150.429992675781
"128",150.770004272461
"129",151.759994506836
"130",149.839996337891
"131",142.479995727539
"132",138.199996948242
"133",142.449996948242
"134",146.100006103516
"135",146.399993896484
"136",145.429992675781
"137",140.089996337891
"138",140.419998168945
"139",138.979995727539
"140",138.339996337891
"141",142.990005493164
"142",138.380004882812
"143",142.410003662109
"144",143.75
"145",143.860000610352
"146",143.389999389648
"147",147.270004272461
"148",149.449996948242
"149",152.339996337891
"150",149.350006103516
"151",144.800003051758
"152",155.740005493164
"153",153.339996337891
"154",150.649993896484
"155",145.029998779297
"156",138.880004882812
"157",138.380004882812
"158",138.919998168945
"159",139.5
"160",134.869995117188
"161",146.869995117188
"162",149.699996948242
"163",148.279998779297
"164",150.039993286133
"165",148.789993286133
"166",150.720001220703
"167",151.289993286133
"168",148.009994506836
"169",150.179992675781
"170",151.070007324219
"171",148.110000610352
"172",144.220001220703
"173",141.169998168945
"174",148.029998779297
"175",148.309997558594
"176",147.809997558594
"177",146.630004882812
"178",142.910003662109
"179",140.940002441406
"180",142.649993896484
"181",142.160003662109
"182",144.490005493164
"183",145.470001220703
"184",143.210006713867
"185",136.5
"186",134.509994506836
"187",132.369995117188
"188",132.300003051758
"189",135.449996948242
"190",132.229995727539
"191",131.860000610352
"192",130.029998779297
"193",126.040000915527
"194",129.610000610352
"195",129.929992675781
"196",125.069999694824
"197",126.360000610352
"198",125.019996643066
"199",129.619995117188
"200",130.149993896484
"201",130.729995727539
"202",133.490005493164
