"y","x1","x2","x3"
18546.6749316786,58.6201004339358,202.906298640531,"B"
16616.498903379,56.0194367982664,192.718794472197,"B"
12773.3124328987,47.8574704453024,189.915798035369,"A"
14613.0383403401,46.8314930681771,199.289230693576,"B"
16549.3725167077,51.6565108081526,201.500167079368,"C"
15360.1065563895,53.3849641677334,199.049086135286,"B"
16473.5982247577,48.8296368859778,209.207756456352,"B"
18095.8271043745,59.9057621819096,197.410896243795,"A"
17795.4890654983,58.408539906772,199.99983451882,"B"
13458.2998882622,47.5936916360152,199.35391899624,"A"
19018.3736225743,60.5801935974237,203.886621824874,"B"
15873.7237303642,50.2478403996054,195.898684285197,"A"
17564.6191935217,52.1200265605549,207.147182718377,"B"
17722.452588982,56.373425258668,200.722183804338,"C"
16790.2920355991,52.1013166412504,199.099554063983,"A"
14905.9374514429,53.6999236904568,195.326411328686,"B"
13094.9181192723,43.9912473268083,191.091692702159,"A"
20364.8250319479,66.4756715817303,197.74647522499,"B"
16709.730340851,54.8096921870835,202.688829610752,"A"
16441.2525588061,50.1960088032938,198.409632312482,"B"
14891.1834964278,46.1389398843803,201.022841102795,"A"
19029.8236186468,60.3144593310225,201.465542162302,"C"
10009.3401761594,38.5585109459549,199.228495331417,"B"
18411.7566142677,61.379384930985,199.165223023308,"B"
16032.6763141393,49.1401745075031,198.022358233127,"A"
10863.4611204302,35.1542853294196,196.073433421651,"C"
18432.7460665709,56.4531195737568,208.30882304508,"B"
18111.7864877375,62.7979230522754,201.476807163684,"C"
12383.0942720413,42.3896699472986,198.121711390904,"C"
14832.5624783782,48.0830319746045,203.210563452834,"B"
19681.6371781723,64.0459721869213,201.389184635665,"C"
12575.662102004,42.963235112176,192.077175941025,"A"
14320.0611856892,48.3056641440302,200.428107867901,"A"
13970.440270153,45.4808612048962,201.5036231078,"A"
14091.1350898352,45.7857377307492,204.011552255066,"B"
17410.3969499175,46.1670062968721,201.211382677464,"B"
12669.6566836995,43.1062532015699,189.708749485182,"B"
14640.8021561186,47.7371891365413,201.18156065507,"A"
15933.0130936733,50.6813502421109,200.564739069109,"C"
13204.4280161254,44.6661623364573,197.403900227319,"B"
13743.4857313399,50.40987224117,201.602874497465,"B"
17254.5169506584,56.2328047995407,191.220508418782,"A"
19133.9062639333,58.0900266929436,199.731545400594,"B"
14811.2250663865,46.7719503146085,197.832184362519,"A"
18006.6491315932,49.0192318877108,196.162618960769,"C"
12621.329615607,42.2030444646286,197.2804438996,"C"
14697.4098643263,48.5189387277319,200.381794880526,"B"
11068.842792874,40.0096483147179,202.667347172055,"B"
17474.4744812096,57.2142917538262,201.274755748845,"C"
11710.9318768561,45.8424697115584,198.017501075033,"A"
19267.7135194458,54.0981178055054,204.951241245063,"B"
15910.9589916284,53.5853774485907,193.131041137166,"C"
18510.2329013993,54.5056562677887,205.935629507162,"B"
13065.6192770514,42.3765892503307,201.179110699701,"A"
12699.0790744509,47.8049682356718,201.087601990535,"A"
18768.3122127593,58.0542525714015,201.872302958814,"C"
14214.101319256,45.6540258812155,197.148440259314,"C"
15458.7226711666,47.8037257299833,193.303944448908,"C"
18869.2650369229,60.0620628913589,202.960617335388,"C"
16744.1502432313,50.4936439207893,201.959955863812,"C"
14632.8460039614,45.8468884262534,203.770934828052,"B"
16274.0854641059,48.1313057814686,211.860359201299,"B"
11486.7366640537,39.910532931972,202.168467165349,"B"
16070.5466976919,50.8599326125341,197.012984585468,"C"
15936.4961466713,50.0025510904463,197.325628830694,"C"
13684.6269574046,51.3100738217117,192.400210954936,"B"
15484.8517025206,49.5468123010693,203.104549466041,"A"
11587.2358355029,40.9437714404076,204.651934614527,"B"
12503.1922789979,39.0468105992952,201.05182928887,"A"
16679.3519928482,53.653095104206,200.464586717128,"B"
18192.1310882212,59.0174387944867,205.016029825188,"B"
16196.1506688344,49.9801593692184,209.470180195625,"B"
13691.6103063772,41.3884094144922,184.917965193753,"B"
13080.0591390134,42.5696760222786,200.620290513773,"B"
15875.9126744374,48.3995927479799,204.521634430134,"A"
21338.094641991,62.3958768260593,202.988535640381,"B"
14649.2462265533,46.6868869223043,201.277491308251,"C"
11595.7816177479,35.9623422088931,205.225165850594,"A"
15791.6752896456,53.5748098462154,199.031821968673,"B"
19168.408527467,54.1871050789066,202.476719873519,"B"
15507.4601389557,52.830476368147,201.491364103832,"B"
15901.6624106294,51.5616480546614,202.61735825674,"B"
