LAD24CD,LAD24NM,Region,CTY24CD,Income,Employment,Education,Health,Crime,Barriers,Living,Overall,Rank
E00006001,District_1,NA,NA,16.97370929572472,14.694321225049565,15.558123114882509,18.207912790133957,14.47748482180172,29.043514378706675,39.31000764344102,19.356117326309427,164
E00006002,District_2,North East,NA,29.399454882065974,25.495428756070858,23.516410896267182,23.381609707257873,23.11717163143067,11.66620415936744,21.561553700318573,23.927542133211166,90
E00006003,District_3,NA,NA,21.965054877402167,26.393006160012348,33.74066483477563,22.053809380426177,23.726861374573986,1.685238659541561,16.676922754742495,22.327890303638313,119
E00006004,District_4,NA,Cumbria,19.228939263902518,19.229256118882095,6.291881542266129,16.59543308159102,7.606867608412978,29.106340616890538,27.262639471745015,17.684273769208136,190
E00006005,District_5,NA,NA,25.76382506106833,21.88091552698378,19.417553084845437,10.48278092739361,27.88700750862038,23.19661378298581,27.302600665738712,22.066789806583067,124
E00006006,District_6,NA,NA,5.356238365381646,12.24162893550065,6.332736934908709,14.067532117064665,20.020761653666206,3.7858321895173574,9.096209848707034,9.793841766200993,283
E00006007,District_7,NA,NA,14.695579748289253,17.12034920141057,12.597258359359955,16.55383805402305,13.660110559461927,5.457836804227428,15.842577357249628,14.336018991192121,232
E00006008,District_8,London,NA,15.665406389365819,21.9371300995988,10.698458417945305,19.10719343604517,11.366623317443066,6.763300894590172,11.870554324309925,15.275026399636804,225
E00006009,District_9,NA,NA,34.833229907305274,31.13268457193675,43.15850183126789,37.346176819339945,46.14618858489675,30.637041658420983,38.142842538406,36.43772507723324,9
E00006010,District_10,NA,NA,13.29409966768873,12.66175024152929,14.057942721487342,7.510285032607472,8.933583485685554,17.560724765331198,17.103015552867816,12.808007659981548,252
E00006011,District_11,NA,NA,24.323737526128514,32.28158034357364,28.087419979997115,27.520614459565863,12.610043182581965,24.731915450758496,28.348262392500786,26.3421108555164,60
E00006012,District_12,NA,NA,16.773246752253748,19.025789426903085,21.57834235694786,30.862582068786992,19.35667789197674,19.224014509517936,18.696260530989015,20.482137163715496,138
E00006013,District_13,NA,NA,22.65619068111551,22.914210757137877,32.67022523277418,27.95220482993218,23.448814158330645,22.17797852493058,22.232391221472852,24.772828896914746,81
E00006014,District_14,Yorkshire and The Humber,NA,9.652589699711331,14.973913540166157,27.295415074966456,28.967484753720832,20.696573545862755,18.955530938648096,25.675660186720137,19.214214048678564,171
E00006015,District_15,NA,NA,37.071786881317365,34.02511277322048,43.009433311843296,45.050344730066485,31.558248853022164,29.787021144896254,42.6807857054074,37.55394382121775,6
