"y","x1","x2","x3","cooks_distance"
14199.8332704637,46.1850937811884,200.851192278999,"B",1.19114146328418e-05
16600.8975680086,47.9072824185953,198.302303929213,"B",0.0014085345366261
15437.8727190785,49.2175693223623,203.049223227361,"B",8.84291284830487e-07
15280.0111344622,51.1166605854406,196.301674910534,"C",2.82502338650394e-05
15299.459283565,50.4081918529882,201.185831422595,"B",4.57212265272979e-05
14228.6535897331,49.0922363046751,199.63767380042,"B",0.000237702789498725
14959.3367206052,47.822095402047,203.733560700883,"A",1.41806294594914e-05
16858.8357503069,54.3211852789623,204.367178590988,"B",8.6759277666743e-05
17064.834497756,51.919574978221,199.561469064905,"A",0.000345396666622286
15170.7833404075,49.3774444696118,199.457357605488,"A",8.86297462848051e-07
15871.7135771288,52.7505991034459,197.15583956175,"B",2.26464765352884e-05
13840.5074579537,47.5557590306274,205.609959990104,"C",0.00191578813502114
15856.6870774075,48.3688003739619,199.381142239605,"B",0.000273513137633604
12407.3519959492,41.347911728756,196.420658290916,"A",1.10440069897922e-05
15632.1001018532,52.1527966973871,199.509230984224,"B",6.87332615865447e-05
17550.4749013022,53.3770037941422,197.497283355916,"C",0.000877613561638595
17340.4019537872,55.8435721094836,203.30243916913,"B",3.95094873961495e-05
13482.6193930733,50.0055694494702,201.515607620521,"B",0.00141042225838198
14195.9950082946,45.1407268468855,199.501775939498,"B",4.17875594173962e-05
15232.3838036506,51.0249330112494,199.571648592734,"A",7.44469324571705e-05
14537.9962753098,44.9927642842109,198.320972892561,"C",0.000366093200697411
17160.8591564558,49.8796286919764,196.378259367216,"A",0.00232139172310911
17857.5271769838,53.7404323742673,203.725697756636,"A",0.000634779410891358
20361.1527728383,59.984104747325,197.456334289931,"C",0.00703112409727488
15201.3258503498,49.8867361639651,198.310162653207,"B",2.47155077563932e-06
15498.8101801796,51.0632869458184,205.159550109007,"A",0.000464995831440295
16467.4216280341,49.717721437804,203.249666184245,"B",0.000335072600126202
15702.1686032974,50.0584995626033,203.014846609073,"B",5.77509021870926e-07
12987.6186397135,42.1258896301843,196.62164417177,"B",7.18484410170254e-05
16358.9002475342,49.5609766058642,198.168545018797,"B",0.000477881507835811
16288.5314274695,53.5920488943641,196.612023129091,"A",6.95487753215924e-13
15170.4323092296,49.5441913220367,199.660397816903,"A",4.2522366347585e-06
12849.7624346668,46.5777048633658,204.296673111443,"C",0.00310355431209763
15800.4733151974,50.5654887370113,201.234995377607,"A",9.70437958376006e-07
14774.6291125757,50.1085372716448,200.824153419719,"C",0.000176310916486464
16338.1426616037,50.5829319786098,204.512038426473,"B",7.10370325490926e-05
19237.9053893997,56.100039490669,203.702932668339,"A",0.00256037482543309
14561.9036504754,46.4079686194679,200.413396683177,"C",1.24933783280091e-05
14946.83902284,49.4150575512573,197.04216565958,"C",3.66195067153791e-06
15139.8448929317,50.5292345539994,201.228368788072,"A",0.000105803068015819
11541.244830353,39.5740205511074,199.769053377222,"C",0.000775872559894957
16196.4934870754,47.9281929916526,196.914236666495,"A",0.00139832427961938
15259.705745695,45.789757525137,199.355329986505,"B",0.000650159984717573
16652.6247600084,53.6487738186821,201.950496770306,"B",5.44092621072886e-06
15436.416893028,50.0723190239576,199.634492539494,"B",1.11845901527192e-07
16857.7765079963,54.9243298493476,203.45986785674,"A",0.000145039433329515
15178.3470554526,50.3521435117452,200.038989636301,"A",4.2378875959215e-05
10207.6144946392,41.6965740275219,194.840509249027,"B",0.00870842330099915
12149.4870034619,39.8963364661116,197.795944842869,"B",2.48651584147889e-07
15121.713450439,49.6070631832132,198.873561567357,"B",4.78446564290127e-06
17918.9425483776,56.1713242650957,198.647458690553,"B",0.000350662446797424
15478.2896824932,49.8024430589212,196.865895621197,"C",5.53664747078404e-05
17209.3730651869,49.1734016860786,200.798431749856,"B",0.00107398125906041
16823.6093104171,56.5814674726949,205.003062255334,"B",0.00162090849127909
15454.3560892058,50.1203647138472,198.236645629841,"A",3.37305009256508e-06
17103.5058924767,56.8873706560412,198.577354980829,"B",0.000124528095845242
15603.4554902781,52.8170732678557,210.022042272749,"A",0.00654031520558225
17690.1506302727,52.3232488964209,200.575683342019,"B",0.000723804579021115
15433.7027915099,47.1905501051986,199.323205838523,"B",0.000295792703101677
15507.6653499297,50.2769426990718,198.811552271572,"A",9.65589241095509e-07
13600.5763137475,46.0877854609143,199.357827895922,"B",0.000168567507025053
17096.5334513568,48.6925204393702,207.634487321807,"A",0.00313055075088794
15418.0627558647,57.2935285114061,200.680179188876,"C",0.00525478945748332
11781.3412248198,39.0301977272292,203.59154892294,"A",0.000768672812323176
15627.8202755263,48.7591812846065,199.446267514753,"A",0.000101537330205178
14020.4056776601,47.0909584477237,196.935639517784,"A",4.79226067627035e-05
19476.7416394361,53.764934907423,205.083586312517,"B",0.00593267444074563
15794.7500698996,50.5584840909167,195.384745829214,"B",0.000223528785743033
14985.6128946795,45.2669630735593,199.081301479686,"A",0.000627668535412515
16079.6380167987,52.397571439312,200.304418252746,"B",7.76063614953238e-06
17383.5690482992,54.6778748844702,203.999186046388,"B",1.68720798586997e-05
14359.7465032266,50.9875225518115,192.265297740185,"C",0.0009447214536028
16542.719523483,55.7639556454957,203.235484821281,"B",0.00086003992864687
14800.6629730456,44.4240478355691,200.346208056058,"A",0.000695509088217555
16129.8691677596,48.3097466069984,199.000510281678,"C",0.000517559953903576
13664.7405676901,45.3696033152575,198.137704361054,"C",2.78579708968257e-05
14323.2553706513,48.0943312908652,201.900762932441,"A",0.000200909985855682
14074.0260398392,44.4029689546057,206.071850914777,"B",4.69724280213401e-05
14600.7675296821,50.2691493009121,201.370547312652,"C",0.000347458617147435
14675.8504905681,49.6315839097918,196.679697684687,"C",8.04631017211826e-05
14910.6691405484,46.7319287952599,199.771969438197,"C",8.91520284584948e-05
15922.2697663356,57.274992143167,188.747862469767,"A",0.00278821046775535
15774.9813672196,51.0038515927321,194.149045936575,"A",0.00025610792364188
16559.1894698679,54.6605266221034,195.155140650894,"B",4.42388777515107e-06
14929.9651427639,50.9196363788281,199.388742437455,"B",0.000167640302854776
15016.8654240982,49.3850190713869,201.308079094725,"C",4.19343762192663e-05
16870.5926399311,47.5451396587047,198.205480449405,"C",0.00218369269971307
15164.527682109,48.326367904468,199.249259096344,"C",2.41647322602006e-05
13972.0773730956,42.5438746364553,200.880226665323,"B",0.000532237002978721
14596.8323473065,49.887451536439,198.616502630821,"B",0.000158154601165725
15949.6954679115,51.6383494026631,192.186062662089,"C",0.000687526859119304
